Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",156.580000,-97.320000,-90.000000,top
"C2","100n","C_0402_1005Metric",165.320000,-105.260000,180.000000,top
"C3","100n","C_0402_1005Metric",168.120000,-96.850000,-90.000000,top
"C4","100n","C_0402_1005Metric",159.640000,-93.800000,0.000000,top
"C5","4.7u","C_0603_1608Metric",159.335000,-92.430000,0.000000,top
"C6","100n","C_0402_1005Metric",155.380000,-101.060000,-90.000000,top
"C7","10p","C_0402_1005Metric",154.080000,-98.370000,90.000000,top
"C8","10p","C_0402_1005Metric",154.110000,-100.280000,-90.000000,top
"C9","10n","C_0402_1005Metric",156.610000,-101.080000,90.000000,top
"C10","1u","C_0402_1005Metric",155.920000,-103.670000,180.000000,top
"C11","1u","C_0402_1005Metric",155.920000,-105.240000,180.000000,top
"C12","22u","C_0805_2012Metric",177.140000,-102.410000,0.000000,top
"C13","22u","C_0805_2012Metric",181.350000,-107.050000,90.000000,top
"D1","Green LED","LED_0603_1608Metric",167.870000,-109.837500,-90.000000,top
"F1","500mA","Fuse_0402_1005Metric",179.525000,-100.490000,180.000000,top
"FB1","FerriteBead","L_0603_1608Metric",157.790000,-104.460000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex_47346-0001",183.265000,-99.002500,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",179.350000,-84.730000,-90.000000,top
"J3","Conn_01x09_Pin","PinHeader_1x09_P2.54mm_Vertical",162.060000,-84.720000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",179.350000,-114.980000,-90.000000,top
"J5","Conn_01x10_Pin","PinHeader_1x10_P2.54mm_Vertical",164.610000,-114.830000,-90.000000,top
"R1","10k","R_0402_1005Metric",140.770000,-93.470000,90.000000,top
"R2","1k5","R_0402_1005Metric",171.840000,-97.760000,-90.000000,top
"R3","100R","R_0603_1608Metric",165.475000,-109.030000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",136.185000,-93.230000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",162.360000,-99.560000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",174.930000,-99.220000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",176.630000,-108.040000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",151.450000,-99.310000,-90.000000,top
